mod_id,mod_name,mod_category,typical_hp_gain_pct,typical_tq_gain_pct,typical_hp_gain_abs,typical_tq_gain_abs,compatible_makes,compatible_models,difficulty_level,typical_cost_usd,notes,source_url
MOD_3BD6FDD6,Stage 1 ECU Remap — Petrol Turbo,ECU Tune,18.0,22.0,,,VW;Audi;Skoda;Seat;BMW;Ford;Opel;Renault;Peugeot;Citroen;Mercedes,All turbocharged petrol,Professional,350,"Bolt-on safe. Remaps boost, ignition, fuelling. Typical 15-25% gain.",static_curated
MOD_2F757445,Stage 2 ECU Remap — Petrol Turbo,ECU Tune,32.0,38.0,,,VW;Audi;Skoda;Seat;BMW;Ford;Opel,All turbocharged petrol,Professional,700,Requires intake + downpipe minimum. 25-45% gain.,static_curated
MOD_2CC340E6,Stage 3 ECU Remap — Petrol Turbo,ECU Tune,55.0,60.0,,,VW;Audi;BMW;Subaru;Mitsubishi,Turbocharged petrol with upgraded turbo,Professional,1200,"Requires upgraded turbo, injectors, intercooler. 50-70% gain.",static_curated
MOD_C70BFA31,Stage 1 ECU Remap — Diesel TDI/TDCi/CDI,ECU Tune,22.0,30.0,,,VW;Audi;BMW;Mercedes;Ford;Opel;Renault;Peugeot,All turbodiesel,Professional,280,"Best value mod for diesel. Typical +25-35 hp, +60-80 Nm.",static_curated
MOD_3F8E3EB8,OBD Tune / E-Tune (Remote),ECU Tune,15.0,18.0,,,All,All OBD-accessible ECUs,DIY,200,Remote tune via OBD port. No dealer visit needed.,static_curated
MOD_002E50DC,Upgraded Intercooler (Front-Mount),Forced Induction,5.0,6.0,,,VW;Audi;Subaru;Mitsubishi;Ford;BMW,Turbocharged models,DIY,450,Reduces charge air temp 20-40°C. Enables higher boost safely.,static_curated
MOD_2A4828C6,Performance Turbocharger Upgrade,Forced Induction,40.0,45.0,,,VW;Audi;Subaru;Mitsubishi;BMW;Ford,Turbocharged models,Professional,2200,Requires full supporting mods + custom tune. Typical Stage 3+.,static_curated
MOD_4124214A,Supercharger Kit,Forced Induction,35.0,30.0,,,Honda;Toyota;Ford;Chevrolet;BMW,NA and mild hybrid,Professional,3500,"Belt-driven, instant boost. Linear power delivery.",static_curated
MOD_0F0EFAE1,Cold Air Intake / Aftermarket Airbox,Intake,3.0,2.0,,,All,All,DIY,220,Improved airflow. Minimal standalone gain; enabling mod for Stage 1+.,static_curated
MOD_8D1ADEBB,High-Flow Air Filter (Panel),Intake,1.0,1.0,,,All,All,DIY,50,"Drop-in replacement. Negligible power gain, washable.",static_curated
MOD_7CA89CA1,Cat-Back Exhaust System,Exhaust,4.0,3.0,,,All,All,DIY,700,Reduces backpressure from cat back. Sound improvement.,static_curated
MOD_B0D3076A,High-Flow Catalytic Converter (200-cell),Exhaust,5.0,5.0,,,All,All,Professional,300,Reduces exhaust restriction. Stage 2 requirement for many tunes.,static_curated
MOD_10D2EE28,Downpipe (Turbo → Cat) — Catless,Exhaust,8.0,9.0,,,VW;Audi;BMW;Subaru;Mitsubishi,Turbocharged models,Professional,380,Maximum flow but not road-legal in many regions.,static_curated
MOD_E40BA809,Downpipe (Turbo → Cat) — High-Flow Cat,Exhaust,6.0,7.0,,,VW;Audi;BMW;Subaru;Mitsubishi,Turbocharged models,Professional,520,Compromise between flow and emissions compliance.,static_curated
MOD_BCDBDB81,High-Flow Fuel Injectors,Fuelling,0.0,0.0,,,All,High-power builds 400+ hp,Professional,600,Enabling mod for Stage 3+. Required for E85/methanol.,static_curated
MOD_11FB5C30,Methanol / Water Injection Kit,Fuelling,12.0,10.0,,,All,Turbocharged,Professional,550,Charge cooling via methanol spray. Effectively acts as octane boost.,static_curated
MOD_457B6203,Flex Fuel Kit (E85 Compatible),Fuelling,15.0,18.0,,,VW;Audi;BMW;Subaru;Ford;Honda,Turbocharged petrol,Professional,450,E85 has higher octane (105 RON). Needs supporting fuelling mods.,static_curated
MOD_3CFD27F1,Coilover Suspension Kit,Suspension,0.0,0.0,,,All,All,Professional,1100,Adjustable ride height + damping. Improves cornering at expense of comfort.,static_curated
MOD_3C70AC09,Lowering Springs,Suspension,0.0,0.0,,,All,All,DIY,220,Lowers CoG ~25-35mm. Firmer than stock. Budget handling upgrade.,static_curated
MOD_44E7F4EB,Anti-Roll Bar (Sway Bar) Upgrade,Suspension,0.0,0.0,,,All,All,DIY,350,Reduces body roll. Front and rear bars common.,static_curated
MOD_3CA73933,Strut Tower Brace,Suspension,0.0,0.0,,,All,All,DIY,150,Improves chassis rigidity. Better turn-in and steering feel.,static_curated
MOD_3F58E3BF,Big Brake Kit (BBK) — 4-piston,Brakes,0.0,0.0,,,All,All,Professional,1600,Larger rotors + multi-piston calipers. Needed for 300+ hp track use.,static_curated
MOD_4B676AF6,Forged Pistons + Connecting Rods,Engine Internals,0.0,0.0,,,All,All,Professional,2200,Enabling mod for 400+ hp builds. Required for high boost reliability.,static_curated
MOD_E81C344C,Ported and Polished Cylinder Head,Engine Internals,10.0,8.0,,,All,All,Professional,1300,Improves airflow through head. Best combined with cam upgrades.,static_curated
MOD_B0A96248,Performance Camshaft Upgrade,Engine Internals,8.0,6.0,,,Honda;Toyota;Subaru;BMW;Ford;Mazda,High-rev naturally aspirated,Professional,850,More lift/duration. Popular on K-series/B-series Honda.,static_curated
MOD_94672A37,Stroker Kit (Increased Displacement),Engine Internals,15.0,20.0,,,Honda;Subaru;Ford;Chevrolet,B16;B18;EJ20;EJ25;LS,Professional,3500,Increases engine displacement via longer stroke crankshaft.,static_curated
MOD_F18C989E,Electronic Boost Controller,Boost Control,8.0,8.0,,,All,Turbocharged models,Professional,250,Precise boost control. Safer than manual. Needs custom tune.,static_curated
MOD_CB4B9171,Blow-Off Valve / Diverter Valve Upgrade,Boost Control,1.0,1.0,,,VW;Audi;Subaru;Mitsubishi;BMW,Turbocharged models,DIY,130,Prevents compressor surge. Reliability + sound improvement.,static_curated
MOD_04DD2C44,Limited Slip Differential (LSD),Drivetrain,0.0,0.0,,,All,All,Professional,1600,Reduces wheelspin. Essential for high-power FWD/RWD.,static_curated
MOD_189C6421,Short-Throw Shifter,Transmission,0.0,0.0,,,All,Manual transmission,DIY,160,Reduces gear throw by 30-50%.,static_curated
MOD_46296A80,Performance Clutch Kit,Transmission,0.0,0.0,,,All,Manual transmission,Professional,700,Handles higher torque for Stage 2+ builds. Required at 350+ Nm.,static_curated
MOD_ACFEF1D6,Front Splitter,Aerodynamics,0.0,0.0,,,All,All,DIY,200,Increases front downforce. Effect significant only above 150 km/h.,static_curated
MOD_02ADEC8D,Rear Wing / Spoiler,Aerodynamics,0.0,0.0,,,All,All,DIY,320,Adds rear downforce. Can slightly increase drag.,static_curated
MOD_132A68F6,Diffuser (Rear Underbody),Aerodynamics,0.0,0.0,,,All,All,Professional,350,Reduces drag and lift at rear. Noticeable above 180 km/h.,static_curated
MOD_EFCA9956,APR Stage 3 ECU Upgrade,ECU Tune,,,,,VW;Audi;Skoda;Seat,,Professional,499,Stage 3: 599.0 hp / 617.0 ft-lb (page text).,https://www.goapr.com/products/software/ecu_upgrade/gasoline/8/40t_ea824/parts/ECU-40T-EA824-S67
MOD_293B8043,APR Stage 2 ECU Upgrade,ECU Tune,,,,,VW;Audi;Skoda;Seat,,Professional,499,Stage 2: 502.0 hp / 537.0 ft-lb (page text).,https://www.goapr.com/products/software/ecu_upgrade/gasoline/porsche/cayenne/parts/ECU-45T-CAYENNE
MOD_E66D1CE2,APR Stage 1 ECU Upgrade,ECU Tune,,,,,VW;Audi;Skoda;Seat,,Professional,499,Stage 1: 634.0 hp / 420.0 ft-lb (page text).,https://www.goapr.com/products/software/ecu_upgrade/gasoline/10/52l_ea824/parts/ECU-52L-2
MOD_8505F821,APR Stage 1 ECU Upgrade,ECU Tune,31.8,,70.0,,VW;Audi;Skoda;Seat,2.0T EA888 Gen3 IS20 (Golf GTI / A3 2.0 TSI),Professional,399,Stock: 220 hp → Stage 1: 290 hp. APR published dyno figures.,https://www.goapr.com/products/software/ecu_upgrade/gasoline/parts/ECU-20T-EA888-3-T-IS20
